SpeciesLocID,Species,Locality,Sex,Depth,TPS_ID,Csize
Tropheops_intermediate-MZ,intermediate,Mazinzi Reef,U,D,1646_PJ,12486.315
Tropheops_intermediate-ER,intermediate,Eccles Reef,U,S,375-PJ,15249.025
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,PJ_TB_OI_01-0106,11360.142
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,PJ_TG_DI_8,14251.663
Tropheops_gracilior-OP,gracilior,Otter Island,M,D,PJ_TG_OI_01-0109,12730.181
Tropheops_intermediate-TW,intermediate,Thumbi West,U,D,PJ_TI_TW_01-0172,12308.754
Tropheops_lilac-OP,lilac,Otter Point,M,S,PJ_TL_OP_01-0151,10612.861
Tropheops_microstoma-OP,microstoma,Otter Island,F,D,PJ_TM_OI_01-1147,9997.036
Tropheops_gold-ER,gold,Eccles Reef,U,S,Tgold010374-PJ,9690.144
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,Tint010302-PJ,11869.565
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,Tr010335-PJ,12653.425
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,Tr010348-PJ,12332.544
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,Tr010357-PJ,9397.688
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,Tr010358-PJ,12223.573
Tropheops_gold_chest-CH,gold chest,Chofu Bay,U,S,Tr010383-PJ,10795.197
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010385-PJ,11165.914
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010386-PJ,9896.149
Tropheops_black_dorsal-CH,black dorsal,Chofu Bay,U,S,TrBD010388-PJ,10075.21
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,TrBdmth010107-PJ,11313.04
Tropheops_broadmouth-OI,broadmouth,Otter Island,U,D,TrBdmth010108-PJ,10847.701
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu1-PJ,9719.89
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu2-PJ,13016.147
Tropheops_black_dorsal-MU,black dorsal,Mumbo Island,U,D,TrBDMu5-PJ,11534.378
Tropheops_chinyamwezi-CW,chinyamwezi,Chinyamwezi,U,S,TrCMW010336-PJ,15047.402
Tropheops_chinyankwazi-CK,chinyankwazi,Chinyankwazi,U,S,TrCWK010362-PJ,11725.223
Tropheops_gold_chest-CH,gold chest,Chofu Bay,U,S,TrGC010381-PJ,10318.02
Tropheops_gracilior-OP,gracilior,Otter Island,F,D,TrGr010124-PJ,12335.777
Tropheops_gracilior-OP,gracilior,Otter Island,M,D,TrGr010131-PJ,13147.493
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,TrGr10-PJ,11411.9
Tropheops_gracilior-DI,gracilior,Domwe Island,U,D,TrGr27-PJ,11267.223
Tropheops_intermediate-TW,intermediate,Thumbi West,F,D,Trint010181-PJ,12005.851
Tropheops_intermediate-TW,intermediate,Thumbi West,F,D,Trint010184-PJ,12334.831
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,TrInt010197-PJ,10801.933
Tropheops_intermediate-OI,intermediate,Otter Island,U,D,Trint010198-PJ,11593.642
Tropheops_intermediate-MZ,intermediate,Mazinzi Reef,M,D,Trint011645-PJ,12342.92
Tropheops_lilac-OP,lilac,Otter Point,M,S,Trli010153-PJ,11901.238
Tropheops_lilac-OP,lilac,Otter Point,F,S,Trlil010156-PJ,10584.959
Tropheops_lilac-TW,lilac,Thumbi West,U,S,Trlilac010196-PJ,12985.857
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrLiMu01-PJ,12789.883
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrliMu28-PJ,12488.802
Tropheops_lilac-MU,lilac,Mumbo Island,U,S,TrLiMu29-PJ,13701.012
Tropheops_lilac-MZ,lilac,Mazinzi Reef,M,S,TrliMz011656-PJ,14092.61
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010303-PJ,11876.658
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010304-PJ,9756
Tropheops_orange_chest-TW,orange chest,Thumbi West,U,S,TrOC010307-PJ,11363.779
Tropheops_orange_chest-ER,orange chest,Eccles Reef,U,S,TrOC010376-PJ,15716.991
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010160-PJ,10502.992
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010161-PJ_BottomBlackLine,9390.683
Tropheops_red_cheek-TW,red cheek,Thumbi West,U,S,TrRC010163-PJ,11090.584
Tropheops_white_dorsal-NM,white dorsal,Nanthumbi,U,S,TrWD010398-PJ,10095.685
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZr011115-PJ,14454.693
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZR011118-PJ,16495.758
Tropheops_zimbawe-ZR,zimbawe rock,Zimbawe Rock,M,S,TrZR011121-PJ,16105.471
